ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	11203	11299	11087	11173	11218	11175	11235
2	11204	11299	11088	11174	11218	11175	11235
3	11203	11300	11087	11173	11218	11175	11235
4	11203	11300	11087	11173	11218	11175	11235
5	11203	11300	11087	11173	11218	11175	11235
6	11204	11299	11087	11173	11218	11175	11235
7	11203	11299	11087	11173	11218	11175	11235
8	11204	11299	11088	11174	11218	11175	11235
9	11204	11299	11088	11173	11218	11175	11235
10	11204	11299	11087	11173	11218	11175	11235
11	11204	11301	11087	11173	11218	11175	11235
12	11203	11299	11087	11173	11218	11175	11235
13	11204	11299	11088	11174	11218	11175	11235
14	11203	11299	11087	11173	11218	11175	11235
15	11204	11301	11087	11173	11218	11175	11235
16	11203	11299	11087	11173	11218	11175	11235
17	11204	11299	11087	11173	11218	11175	11235
18	11204	11299	11089	11173	11219	11176	11235
19	11204	11299	11088	11173	11218	11175	11235
20	11204	11299	11090	11173	11218	11175	11235
