ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	10351	10468	10253	10253	10347	10272	10361
2	10351	10468	10253	10253	10347	10272	10362
3	10351	10468	10253	10253	10347	10272	10361
4	10351	10468	10253	10253	10347	10273	10363
5	10351	10468	10253	10253	10347	10272	10364
6	10351	10468	10253	10253	10347	10272	10364
7	10351	10468	10253	10253	10347	10273	10363
8	10351	10468	10253	10253	10347	10272	10361
9	10351	10468	10253	10254	10347	10272	10364
10	10351	10468	10253	10253	10347	10272	10364
11	10351	10468	10253	10253	10347	10272	10362
12	10351	10468	10253	10253	10347	10272	10361
13	10351	10469	10253	10253	10347	10272	10364
14	10351	10468	10253	10255	10347	10272	10361
15	10351	10468	10253	10253	10347	10272	10361
16	10351	10468	10253	10253	10347	10273	10363
17	10351	10468	10253	10256	10347	10272	10364
18	10351	10468	10253	10253	10347	10272	10364
19	10351	10468	10253	10255	10347	10272	10361
20	10351	10468	10253	10253	10347	10273	10363
