ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	22098	22294	21947	21937	22168	22090	22072
2	22099	22295	21948	21938	22168	22091	22073
3	22099	22295	21948	21938	22168	22091	22073
4	22099	22294	21949	21938	22168	22091	22073
5	22099	22294	21949	21938	22168	22091	22073
6	22099	22295	21949	21938	22168	22091	22072
7	22099	22294	21949	21937	22168	22092	22072
8	22099	22294	21947	21937	22168	22090	22072
9	22099	22295	21948	21938	22168	22091	22073
10	22099	22295	21948	21938	22168	22093	22073
11	22099	22295	21948	21938	22168	22091	22073
12	22099	22295	21948	21938	22168	22091	22073
13	22099	22295	21948	21938	22168	22091	22073
14	22099	22294	21949	21938	22168	22091	22073
15	22099	22295	21948	21938	22168	22091	22073
16	22099	22294	21949	21938	22168	22091	22073
17	22099	22295	21948	21938	22168	22091	22073
18	22099	22295	21948	21938	22168	22091	22073
19	22099	22295	21948	21938	22168	22091	22073
20	22099	22294	21949	21937	22168	22092	22072
