ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	23172	23358	22993	22983	23215	23199	23123
2	23173	23359	22994	22984	23215	23199	23123
3	23174	23358	22995	22983	23215	23199	23124
4	23172	23360	22996	22983	23215	23199	23124
5	23172	23360	22993	22983	23215	23199	23124
6	23172	23358	22993	22985	23215	23199	23123
7	23172	23358	22996	22983	23215	23199	23123
8	23172	23358	22993	22983	23215	23199	23123
9	23174	23358	22995	22983	23215	23199	23124
10	23172	23358	22993	22983	23215	23199	23123
11	23172	23360	22993	22983	23215	23199	23124
12	23172	23358	22993	22985	23215	23199	23123
13	23172	23361	22993	22983	23215	23199	23123
14	23172	23358	22993	22985	23215	23199	23123
15	23172	23360	22993	22983	23215	23199	23124
16	23172	23360	22996	22983	23215	23199	23124
17	23172	23358	22993	22985	23215	23199	23123
18	23172	23360	22996	22983	23215	23199	23124
19	23172	23359	22994	22983	23215	23199	23123
20	23172	23358	22993	22985	23215	23199	23123
