ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	2263	2293	2185	2249	2297	2221	2260
2	2263	2293	2185	2250	2298	2222	2261
3	2264	2293	2185	2249	2299	2223	2260
4	2265	2293	2185	2249	2297	2223	2260
5	2264	2293	2185	2249	2299	2223	2260
6	2264	2293	2185	2249	2299	2223	2260
7	2266	2293	2185	2249	2297	2223	2260
8	2264	2293	2185	2249	2299	2223	2260
9	2264	2293	2185	2249	2299	2223	2260
10	2265	2293	2185	2249	2297	2223	2260
11	2263	2293	2185	2250	2298	2222	2261
12	2263	2293	2185	2250	2300	2223	2260
13	2267	2293	2185	2250	2300	2223	2262
14	2263	2293	2185	2250	2298	2222	2261
15	2266	2293	2185	2249	2297	2223	2260
16	2264	2293	2185	2249	2299	2223	2260
17	2263	2293	2185	2249	2297	2221	2260
18	2263	2293	2185	2249	2297	2223	2260
19	2264	2293	2185	2249	2299	2223	2260
20	2264	2293	2185	2249	2299	2223	2260
