ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	15014	15158	14914	14922	15061	14965	15006
2	15014	15158	14914	14922	15061	14966	15007
3	15014	15158	14914	14922	15061	14965	15006
4	15015	15158	14915	14922	15061	14967	15006
5	15014	15158	14914	14922	15061	14967	15006
6	15014	15158	14914	14922	15061	14965	15006
7	15014	15158	14914	14923	15062	14967	15006
8	15014	15158	14914	14922	15061	14967	15006
9	15014	15158	14914	14922	15061	14966	15006
10	15014	15158	14914	14922	15061	14967	15006
11	15015	15158	14914	14922	15061	14967	15006
12	15014	15158	14914	14922	15061	14965	15006
13	15014	15158	14915	14922	15061	14967	15006
14	15015	15158	14915	14922	15061	14967	15006
15	15014	15158	14914	14922	15063	14967	15006
16	15014	15158	14914	14922	15061	14965	15006
17	15014	15158	14914	14922	15061	14965	15006
18	15014	15158	14914	14922	15061	14967	15006
19	15014	15158	14914	14923	15062	14967	15006
20	15015	15158	14915	14922	15061	14967	15006
