ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	3271	3309	3152	3286	3332	3271	3321
2	3271	3310	3152	3286	3332	3271	3322
3	3271	3309	3153	3286	3333	3272	3321
4	3271	3309	3153	3286	3333	3272	3321
5	3271	3310	3152	3286	3334	3271	3321
6	3271	3311	3152	3286	3332	3271	3323
7	3271	3309	3152	3286	3332	3271	3321
8	3271	3309	3154	3287	3335	3271	3321
9	3271	3309	3153	3286	3333	3272	3321
10	3271	3309	3153	3286	3333	3272	3321
11	3271	3309	3152	3286	3332	3271	3321
12	3271	3309	3154	3287	3333	3271	3321
13	3271	3309	3152	3286	3332	3271	3321
14	3271	3309	3152	3287	3333	3272	3324
15	3271	3309	3154	3287	3333	3271	3321
16	3271	3309	3154	3287	3333	3271	3321
17	3272	3309	3152	3286	3332	3271	3321
18	3271	3309	3152	3286	3332	3271	3321
19	3271	3309	3155	3287	3333	3272	3321
20	3271	3309	3152	3286	3332	3271	3321
