ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	25099	25377	25021	24932	25150	25147	25060
2	25100	25377	25022	24933	25151	25147	25061
3	25099	25377	25021	24934	25150	25148	25062
4	25099	25377	25021	24932	25150	25147	25062
5	25099	25378	25022	24933	25151	25147	25063
6	25099	25378	25022	24933	25151	25147	25063
7	25099	25378	25022	24933	25151	25147	25063
8	25099	25377	25021	24932	25150	25148	25062
9	25099	25378	25022	24933	25151	25147	25063
10	25099	25377	25021	24932	25150	25148	25062
11	25100	25377	25021	24933	25152	25147	25063
12	25099	25378	25021	24932	25150	25147	25060
13	25099	25378	25022	24933	25150	25147	25063
14	25099	25377	25021	24932	25150	25147	25060
15	25099	25377	25021	24932	25150	25148	25062
16	25099	25378	25022	24933	25151	25147	25063
17	25101	25377	25022	24933	25151	25147	25061
18	25100	25377	25022	24933	25151	25147	25061
19	25100	25377	25022	24935	25153	25147	25061
20	25099	25377	25022	24933	25151	25147	25063
