ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	7695	7789	7691	7688	7792	7716	7786
2	7696	7789	7692	7689	7793	7717	7786
3	7697	7789	7693	7689	7794	7716	7786
4	7696	7789	7692	7689	7793	7716	7786
5	7696	7789	7692	7689	7793	7716	7786
6	7698	7789	7691	7689	7793	7716	7786
7	7696	7789	7692	7689	7793	7716	7786
8	7699	7789	7691	7689	7793	7716	7786
9	7696	7789	7692	7689	7793	7716	7786
10	7696	7789	7692	7689	7795	7716	7786
11	7698	7789	7692	7689	7793	7718	7787
12	7696	7790	7692	7689	7793	7716	7786
13	7696	7789	7692	7689	7796	7716	7786
14	7695	7789	7691	7689	7793	7716	7786
15	7696	7789	7692	7689	7793	7717	7786
16	7696	7789	7692	7689	7793	7716	7786
17	7697	7789	7693	7689	7793	7716	7786
18	7698	7789	7691	7689	7793	7716	7786
19	7695	7789	7691	7689	7793	7716	7786
20	7696	7789	7692	7689	7793	7716	7786
