ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	5635	5680	5607	5627	5745	5635	5692
2	5636	5680	5607	5628	5746	5635	5692
3	5635	5680	5607	5627	5745	5635	5692
4	5635	5680	5607	5628	5746	5635	5692
5	5635	5680	5608	5628	5746	5635	5692
6	5637	5680	5607	5627	5746	5636	5693
7	5637	5680	5607	5627	5746	5636	5693
8	5635	5680	5607	5628	5746	5635	5692
9	5637	5680	5607	5627	5746	5636	5693
10	5635	5680	5607	5627	5745	5635	5692
11	5635	5680	5607	5628	5746	5635	5692
12	5635	5680	5607	5628	5746	5635	5692
13	5637	5680	5607	5627	5746	5636	5693
14	5635	5680	5607	5628	5746	5635	5692
15	5635	5680	5607	5627	5746	5636	5693
16	5635	5680	5607	5627	5746	5635	5692
17	5635	5680	5607	5627	5746	5635	5692
18	5635	5680	5607	5628	5746	5635	5692
19	5635	5680	5607	5627	5745	5635	5692
20	5637	5680	5607	5627	5746	5636	5693
