ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	4495	4516	4407	4464	4558	4456	4558
2	4495	4517	4407	4464	4559	4457	4558
3	4495	4516	4407	4464	4560	4457	4558
4	4495	4516	4407	4464	4560	4457	4558
5	4495	4516	4408	4464	4561	4456	4559
6	4495	4516	4407	4465	4558	4456	4558
7	4495	4516	4407	4464	4558	4456	4558
8	4495	4516	4407	4464	4560	4457	4558
9	4495	4516	4407	4464	4559	4457	4558
10	4495	4516	4407	4464	4558	4456	4558
11	4495	4516	4407	4464	4558	4456	4558
12	4495	4516	4407	4464	4558	4456	4558
13	4495	4517	4407	4464	4559	4457	4558
14	4495	4516	4407	4464	4559	4457	4558
15	4495	4516	4408	4464	4561	4456	4559
16	4495	4516	4407	4465	4558	4456	4558
17	4495	4517	4407	4464	4559	4456	4558
18	4495	4516	4407	4464	4558	4456	4558
19	4495	4516	4407	4465	4558	4456	4558
20	4495	4516	4408	4464	4561	4456	4559
