ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	23541	23757	23391	23366	23576	23581	23510
2	23542	23758	23392	23367	23576	23582	23511
3	23543	23757	23393	23368	23577	23583	23510
4	23544	23757	23394	23366	23578	23581	23510
5	23542	23758	23392	23367	23576	23582	23510
6	23542	23759	23392	23369	23579	23582	23510
7	23544	23757	23394	23366	23578	23581	23510
8	23542	23758	23392	23367	23576	23582	23510
9	23544	23757	23395	23366	23578	23581	23510
10	23542	23759	23392	23369	23579	23582	23510
11	23542	23759	23392	23369	23579	23582	23510
12	23542	23760	23392	23367	23576	23582	23510
13	23541	23757	23391	23366	23576	23581	23510
14	23544	23757	23394	23366	23578	23581	23510
15	23541	23757	23391	23366	23576	23582	23512
16	23541	23757	23391	23366	23576	23581	23510
17	23544	23757	23394	23366	23578	23581	23510
18	23542	23759	23392	23369	23579	23582	23510
19	23542	23758	23392	23367	23576	23582	23510
20	23545	23757	23391	23366	23576	23581	23510
