ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	1331	1378	1298	1361	1363	1322	1355
2	1331	1378	1298	1361	1363	1322	1355
3	1331	1379	1298	1362	1363	1323	1355
4	1331	1380	1299	1361	1364	1324	1356
5	1331	1378	1298	1361	1364	1324	1355
6	1331	1379	1298	1361	1363	1324	1355
7	1331	1379	1298	1361	1363	1324	1355
8	1332	1379	1299	1361	1363	1324	1357
9	1331	1378	1298	1361	1364	1324	1355
10	1331	1380	1299	1361	1364	1324	1356
11	1331	1378	1298	1361	1363	1322	1355
12	1331	1380	1299	1361	1364	1324	1356
13	1331	1379	1298	1361	1363	1324	1355
14	1333	1378	1299	1361	1364	1324	1356
15	1331	1379	1298	1361	1363	1324	1355
16	1331	1378	1299	1361	1364	1324	1356
17	1331	1378	1298	1361	1364	1324	1355
18	1331	1378	1299	1361	1364	1324	1356
19	1331	1378	1299	1361	1364	1324	1356
20	1331	1380	1299	1361	1364	1324	1356
