ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	24740	24992	24663	24562	24786	24775	24697
2	24740	24992	24664	24563	24787	24776	24698
3	24740	24992	24664	24563	24787	24777	24698
4	24740	24992	24665	24562	24788	24777	24697
5	24740	24992	24664	24563	24787	24776	24698
6	24741	24992	24663	24562	24786	24777	24699
7	24740	24992	24665	24562	24788	24777	24697
8	24740	24992	24664	24563	24787	24777	24698
9	24740	24992	24664	24563	24787	24777	24700
10	24740	24992	24664	24563	24787	24777	24700
11	24741	24992	24663	24562	24786	24777	24699
12	24740	24992	24664	24563	24789	24777	24701
13	24740	24992	24664	24563	24787	24776	24698
14	24740	24992	24664	24563	24787	24777	24698
15	24740	24992	24664	24563	24787	24777	24698
16	24740	24992	24664	24563	24789	24777	24701
17	24740	24992	24664	24563	24787	24776	24698
18	24740	24992	24664	24563	24789	24777	24701
19	24740	24993	24664	24563	24787	24777	24698
20	24741	24992	24663	24562	24786	24777	24699
