ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	6189	6261	6167	6181	6300	6159	6226
2	6190	6261	6167	6181	6300	6159	6226
3	6189	6261	6167	6181	6300	6159	6226
4	6190	6261	6167	6181	6300	6159	6226
5	6190	6261	6167	6181	6300	6159	6226
6	6190	6261	6167	6181	6300	6159	6226
7	6189	6261	6167	6181	6300	6159	6226
8	6190	6261	6167	6182	6300	6159	6226
9	6189	6261	6167	6181	6300	6159	6226
10	6189	6261	6167	6181	6301	6159	6226
11	6189	6261	6167	6181	6300	6159	6226
12	6189	6261	6167	6181	6300	6159	6226
13	6190	6261	6167	6181	6300	6159	6226
14	6189	6261	6167	6181	6300	6159	6226
15	6190	6261	6167	6181	6302	6159	6227
16	6189	6261	6167	6181	6300	6159	6226
17	6190	6261	6167	6181	6300	6159	6226
18	6189	6261	6167	6181	6300	6159	6226
19	6190	6261	6167	6181	6300	6159	6226
20	6190	6261	6167	6181	6300	6159	6226
