ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	20976	21217	20881	20854	21109	20987	20991
2	20977	21218	20882	20855	21109	20987	20992
3	20978	21218	20882	20855	21109	20987	20992
4	20977	21218	20882	20855	21109	20987	20992
5	20977	21218	20882	20856	21109	20988	20993
6	20979	21218	20882	20855	21109	20987	20992
7	20976	21217	20881	20854	21109	20987	20991
8	20977	21218	20882	20856	21109	20988	20993
9	20977	21217	20881	20854	21109	20987	20994
10	20977	21219	20882	20855	21109	20987	20992
11	20977	21218	20883	20855	21109	20987	20992
12	20977	21218	20882	20855	21109	20987	20992
13	20976	21217	20881	20854	21110	20987	20991
14	20976	21217	20881	20854	21109	20987	20991
15	20977	21218	20882	20855	21109	20987	20992
16	20977	21218	20882	20856	21109	20988	20993
17	20977	21218	20882	20855	21109	20987	20992
18	20977	21217	20881	20854	21109	20987	20994
19	20976	21217	20881	20854	21109	20987	20991
20	20979	21218	20882	20855	21109	20987	20992
