ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	4818	4806	4713	4774	4860	4778	4869
2	4818	4806	4713	4774	4860	4778	4869
3	4819	4806	4713	4774	4861	4778	4869
4	4820	4806	4714	4774	4862	4778	4869
5	4819	4806	4714	4774	4862	4778	4869
6	4819	4806	4714	4774	4862	4778	4869
7	4818	4806	4714	4774	4863	4778	4869
8	4819	4806	4713	4774	4861	4778	4869
9	4819	4806	4714	4774	4862	4778	4869
10	4818	4807	4714	4774	4863	4778	4869
11	4820	4806	4714	4774	4863	4778	4869
12	4818	4806	4714	4774	4863	4778	4869
13	4819	4808	4714	4774	4864	4778	4869
14	4820	4806	4714	4774	4863	4778	4869
15	4818	4806	4713	4774	4860	4778	4869
16	4820	4806	4714	4774	4862	4778	4869
17	4820	4806	4714	4774	4863	4778	4869
18	4819	4808	4714	4774	4864	4778	4869
19	4818	4806	4714	4774	4863	4778	4869
20	4819	4806	4714	4774	4862	4778	4869
