ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	19044	19233	18833	18863	19031	18971	18953
2	19044	19233	18833	18863	19032	18971	18953
3	19044	19233	18833	18863	19032	18971	18953
4	19044	19233	18833	18863	19032	18971	18953
5	19044	19233	18833	18863	19031	18971	18953
6	19044	19233	18833	18864	19032	18971	18953
7	19044	19233	18833	18863	19032	18971	18953
8	19045	19234	18834	18865	19033	18972	18954
9	19044	19233	18833	18864	19032	18971	18953
10	19044	19235	18833	18863	19032	18971	18953
11	19044	19233	18833	18863	19031	18971	18953
12	19044	19233	18833	18863	19032	18971	18953
13	19044	19233	18833	18864	19032	18971	18953
14	19044	19233	18833	18863	19031	18971	18953
15	19044	19233	18833	18864	19032	18971	18953
16	19044	19233	18833	18863	19031	18971	18953
17	19044	19233	18833	18864	19032	18971	18953
18	19044	19233	18833	18863	19032	18971	18953
19	19044	19233	18833	18864	19032	18971	18953
20	19044	19233	18833	18863	19032	18971	18953
