ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	5904	5974	5896	5896	6032	5908	5966
2	5904	5974	5897	5896	6033	5908	5967
3	5904	5974	5897	5896	6033	5908	5967
4	5904	5974	5897	5896	6033	5908	5967
5	5904	5974	5897	5897	6034	5908	5966
6	5904	5974	5897	5898	6032	5908	5966
7	5904	5974	5897	5896	6033	5908	5967
8	5904	5974	5897	5898	6033	5908	5967
9	5904	5974	5897	5896	6033	5908	5967
10	5904	5974	5897	5896	6033	5908	5967
11	5905	5974	5897	5896	6033	5908	5967
12	5904	5974	5897	5897	6034	5908	5966
13	5904	5974	5897	5898	6033	5908	5966
14	5904	5974	5897	5896	6033	5908	5967
15	5904	5974	5897	5896	6033	5908	5967
16	5904	5974	5897	5898	6034	5908	5966
17	5904	5974	5897	5896	6033	5908	5967
18	5904	5974	5897	5896	6033	5908	5967
19	5904	5974	5897	5896	6033	5908	5967
20	5904	5974	5897	5896	6033	5908	5967
