ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	13438	13592	13362	13388	13476	13394	13490
2	13439	13593	13362	13388	13477	13394	13490
3	13439	13593	13362	13388	13477	13394	13490
4	13439	13593	13362	13389	13477	13394	13491
5	13440	13593	13362	13388	13477	13394	13492
6	13439	13594	13362	13388	13476	13395	13490
7	13439	13593	13362	13388	13477	13394	13491
8	13439	13593	13362	13388	13477	13394	13493
9	13439	13592	13362	13388	13476	13394	13490
10	13439	13593	13362	13388	13477	13394	13490
11	13439	13593	13362	13388	13477	13394	13493
12	13439	13593	13363	13388	13477	13394	13491
13	13439	13593	13362	13390	13477	13394	13490
14	13439	13593	13362	13388	13478	13394	13491
15	13439	13593	13362	13388	13477	13394	13493
16	13439	13593	13362	13388	13477	13394	13490
17	13439	13593	13362	13388	13477	13394	13493
18	13439	13593	13362	13388	13477	13394	13491
19	13439	13593	13362	13388	13477	13394	13490
20	13439	13593	13362	13388	13477	13394	13490
