ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	8037	8144	8029	8036	8128	8056	8125
2	8037	8144	8029	8036	8128	8057	8125
3	8037	8144	8029	8036	8128	8057	8126
4	8037	8144	8029	8036	8128	8057	8125
5	8037	8144	8029	8036	8128	8057	8125
6	8037	8144	8029	8036	8128	8057	8125
7	8037	8144	8029	8036	8128	8057	8125
8	8037	8144	8029	8036	8128	8057	8125
9	8037	8144	8029	8036	8128	8057	8125
10	8037	8144	8029	8036	8128	8057	8125
11	8037	8144	8029	8036	8128	8057	8125
12	8037	8144	8029	8036	8128	8056	8125
13	8037	8144	8029	8036	8129	8057	8125
14	8037	8144	8029	8037	8130	8057	8125
15	8037	8144	8029	8036	8128	8057	8125
16	8037	8144	8029	8036	8129	8057	8125
17	8037	8144	8029	8036	8128	8056	8125
18	8037	8144	8029	8036	8128	8057	8126
19	8037	8144	8029	8036	8128	8056	8127
20	8037	8144	8029	8036	8128	8056	8125
