ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	4955	4973	4874	4931	5026	4937	5012
2	4955	4974	4875	4932	5027	4938	5013
3	4955	4974	4876	4933	5026	4939	5014
4	4955	4974	4875	4932	5027	4938	5013
5	4955	4975	4876	4934	5026	4937	5014
6	4955	4974	4875	4932	5027	4940	5013
7	4955	4974	4876	4933	5026	4939	5014
8	4955	4976	4874	4931	5026	4937	5012
9	4955	4974	4875	4932	5027	4940	5013
10	4955	4974	4876	4933	5026	4939	5014
11	4955	4974	4876	4933	5026	4939	5014
12	4955	4974	4875	4932	5027	4940	5013
13	4955	4975	4877	4935	5026	4939	5014
14	4955	4975	4876	4934	5026	4937	5014
15	4955	4974	4876	4933	5026	4941	5014
16	4955	4973	4874	4931	5026	4937	5012
17	4955	4974	4875	4932	5027	4938	5013
18	4955	4977	4875	4932	5026	4939	5014
19	4955	4974	4876	4935	5026	4937	5012
20	4955	4974	4876	4935	5026	4939	5014
