ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	12074	12199	11997	12032	12138	12049	12099
2	12074	12200	11997	12032	12139	12049	12099
3	12074	12200	11997	12032	12139	12049	12099
4	12074	12200	11997	12032	12139	12049	12099
5	12074	12200	11997	12032	12139	12049	12099
6	12074	12199	11997	12032	12138	12049	12099
7	12074	12199	11997	12032	12138	12050	12099
8	12074	12200	11997	12032	12139	12049	12099
9	12074	12199	11997	12032	12138	12049	12099
10	12074	12199	11997	12032	12138	12049	12099
11	12074	12200	11997	12032	12139	12049	12099
12	12074	12199	11997	12032	12138	12050	12099
13	12074	12199	11997	12032	12138	12050	12099
14	12075	12199	11997	12032	12138	12051	12099
15	12074	12200	11997	12032	12139	12049	12099
16	12074	12200	11997	12032	12139	12049	12099
17	12074	12199	11997	12032	12138	12049	12099
18	12074	12199	11997	12032	12138	12050	12099
19	12074	12199	11997	12032	12138	12050	12099
20	12075	12199	11998	12033	12140	12051	12099
