ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	4622	4627	4526	4591	4676	4580	4669
2	4622	4627	4527	4591	4676	4581	4669
3	4622	4627	4528	4592	4676	4582	4669
4	4622	4627	4527	4591	4676	4581	4669
5	4622	4627	4528	4592	4677	4582	4670
6	4622	4627	4527	4591	4676	4581	4669
7	4622	4627	4527	4591	4676	4581	4669
8	4622	4627	4529	4592	4676	4582	4669
9	4622	4627	4530	4591	4676	4580	4669
10	4622	4627	4531	4591	4676	4580	4669
11	4622	4627	4528	4592	4676	4582	4669
12	4622	4627	4528	4592	4676	4582	4669
13	4622	4628	4528	4592	4676	4582	4669
14	4622	4627	4528	4592	4676	4582	4669
15	4622	4627	4529	4592	4676	4582	4669
16	4622	4627	4531	4591	4676	4580	4669
17	4623	4627	4531	4591	4676	4580	4669
18	4622	4627	4531	4591	4676	4581	4669
19	4622	4627	4531	4591	4676	4580	4669
20	4624	4627	4531	4591	4676	4580	4669
