ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	9595	9722	9535	9521	9609	9553	9640
2	9596	9722	9536	9522	9609	9553	9640
3	9596	9722	9535	9521	9609	9554	9640
4	9597	9722	9536	9521	9609	9553	9640
5	9597	9722	9536	9521	9610	9553	9640
6	9597	9722	9536	9521	9609	9553	9640
7	9596	9722	9536	9522	9609	9553	9640
8	9596	9722	9536	9522	9609	9553	9640
9	9596	9722	9536	9522	9609	9553	9640
10	9597	9722	9536	9521	9609	9553	9640
11	9597	9722	9536	9521	9610	9553	9640
12	9597	9722	9536	9521	9611	9553	9640
13	9597	9722	9536	9521	9609	9553	9640
14	9597	9722	9536	9521	9609	9553	9640
15	9596	9722	9536	9522	9609	9553	9640
16	9596	9722	9536	9522	9609	9553	9640
17	9598	9722	9536	9521	9609	9555	9641
18	9598	9722	9536	9521	9609	9555	9641
19	9597	9722	9536	9521	9609	9553	9642
20	9597	9722	9536	9521	9610	9553	9640
