ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	18596	18738	18382	18421	18585	18514	18510
2	18596	18739	18383	18421	18585	18515	18511
3	18596	18738	18384	18421	18585	18516	18511
4	18597	18738	18384	18421	18586	18517	18511
5	18596	18738	18384	18421	18586	18517	18511
6	18596	18738	18382	18421	18585	18514	18510
7	18596	18738	18382	18421	18585	18514	18510
8	18596	18738	18382	18421	18585	18514	18510
9	18596	18738	18382	18421	18585	18514	18512
10	18596	18738	18382	18421	18585	18514	18510
11	18596	18739	18383	18421	18585	18515	18511
12	18596	18739	18383	18421	18585	18515	18511
13	18596	18738	18385	18421	18585	18518	18510
14	18596	18738	18384	18421	18585	18516	18511
15	18596	18738	18382	18421	18585	18514	18510
16	18596	18738	18384	18422	18585	18516	18511
17	18596	18739	18383	18421	18585	18515	18511
18	18596	18739	18383	18421	18585	18515	18511
19	18596	18738	18385	18421	18585	18518	18510
20	18596	18738	18385	18421	18585	18518	18510
