ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	3361	3394	3237	3366	3432	3350	3411
2	3361	3394	3237	3366	3432	3350	3411
3	3361	3394	3237	3366	3432	3350	3411
4	3361	3394	3237	3366	3432	3350	3411
5	3361	3394	3237	3366	3432	3350	3411
6	3361	3394	3237	3366	3432	3350	3411
7	3361	3394	3237	3366	3432	3350	3411
8	3362	3394	3237	3366	3432	3350	3411
9	3363	3394	3238	3367	3433	3351	3411
10	3364	3394	3237	3366	3432	3350	3411
11	3363	3394	3238	3367	3433	3351	3411
12	3365	3394	3239	3368	3434	3352	3411
13	3361	3394	3237	3366	3432	3350	3411
14	3361	3394	3237	3366	3432	3350	3411
15	3366	3394	3237	3369	3432	3353	3411
16	3361	3394	3237	3366	3432	3350	3411
17	3361	3394	3237	3366	3432	3350	3411
18	3366	3394	3237	3369	3432	3353	3411
19	3361	3394	3237	3366	3432	3350	3411
20	3365	3394	3239	3368	3434	3352	3411
