ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	11214	11312	11103	11181	11230	11184	11242
2	11214	11313	11104	11182	11230	11184	11242
3	11214	11313	11103	11183	11230	11185	11242
4	11214	11312	11105	11184	11230	11184	11242
5	11214	11313	11103	11183	11230	11186	11242
6	11214	11314	11103	11181	11230	11184	11242
7	11214	11314	11103	11181	11230	11184	11242
8	11214	11313	11103	11183	11231	11187	11242
9	11214	11312	11103	11181	11230	11184	11242
10	11214	11312	11103	11181	11230	11184	11242
11	11214	11313	11103	11183	11230	11186	11242
12	11214	11313	11103	11183	11230	11186	11242
13	11214	11312	11103	11181	11232	11184	11242
14	11214	11312	11103	11181	11230	11184	11242
15	11214	11312	11106	11181	11230	11184	11242
16	11214	11312	11103	11181	11230	11184	11242
17	11214	11312	11103	11181	11230	11184	11242
18	11214	11312	11103	11181	11230	11184	11242
19	11214	11312	11103	11181	11230	11184	11242
20	11214	11313	11103	11183	11230	11186	11242
