ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	19465	19695	19290	19305	19500	19405	19395
2	19466	19696	19290	19305	19500	19405	19395
3	19465	19696	19290	19305	19500	19405	19395
4	19466	19696	19290	19305	19500	19405	19395
5	19465	19697	19290	19305	19500	19405	19395
6	19465	19696	19290	19305	19500	19405	19395
7	19465	19697	19290	19305	19500	19405	19395
8	19465	19696	19290	19305	19500	19405	19395
9	19465	19696	19290	19305	19500	19405	19395
10	19466	19696	19291	19305	19500	19405	19395
11	19466	19696	19290	19305	19500	19405	19395
12	19466	19696	19290	19305	19501	19405	19396
13	19466	19696	19290	19305	19501	19405	19396
14	19465	19696	19290	19305	19500	19405	19395
15	19465	19696	19290	19305	19500	19405	19395
16	19465	19696	19290	19305	19500	19405	19395
17	19465	19696	19290	19305	19500	19405	19395
18	19465	19696	19290	19305	19500	19405	19395
19	19465	19696	19290	19305	19500	19405	19397
20	19466	19696	19290	19305	19500	19405	19395
