ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	17914	18070	17711	17741	17902	17840	17820
2	17914	18070	17711	17741	17902	17840	17821
3	17914	18070	17711	17741	17902	17840	17821
4	17914	18071	17712	17742	17902	17840	17822
5	17914	18070	17711	17741	17902	17840	17821
6	17914	18070	17711	17741	17902	17840	17821
7	17914	18070	17711	17741	17902	17840	17821
8	17914	18070	17711	17743	17902	17840	17821
9	17914	18070	17712	17742	17902	17840	17823
10	17915	18070	17713	17741	17902	17841	17824
11	17914	18071	17712	17742	17902	17840	17822
12	17914	18070	17711	17741	17902	17840	17823
13	17914	18070	17711	17741	17902	17840	17821
14	17914	18071	17712	17742	17902	17840	17822
15	17915	18070	17713	17741	17902	17841	17824
16	17914	18070	17711	17741	17902	17842	17823
17	17914	18070	17711	17743	17902	17840	17821
18	17914	18071	17712	17742	17902	17840	17822
19	17914	18070	17712	17744	17902	17840	17825
20	17914	18070	17711	17741	17902	17840	17821
