ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	22182	22380	22032	22026	22256	22175	22153
2	22183	22380	22033	22026	22256	22175	22153
3	22184	22380	22034	22026	22257	22175	22154
4	22185	22380	22034	22026	22256	22176	22155
5	22184	22380	22034	22026	22257	22175	22154
6	22182	22380	22032	22026	22256	22175	22153
7	22184	22380	22034	22026	22258	22175	22154
8	22184	22380	22034	22026	22256	22175	22153
9	22186	22381	22033	22027	22256	22175	22156
10	22187	22381	22033	22027	22256	22175	22157
11	22182	22380	22032	22026	22256	22175	22153
12	22183	22380	22033	22026	22256	22175	22153
13	22182	22380	22032	22026	22256	22175	22153
14	22186	22381	22033	22027	22256	22175	22156
15	22184	22380	22034	22026	22257	22175	22154
16	22182	22380	22032	22026	22256	22175	22153
17	22185	22380	22034	22026	22256	22176	22155
18	22182	22380	22032	22026	22256	22175	22153
19	22182	22380	22032	22026	22256	22175	22153
20	22184	22380	22034	22026	22257	22175	22154
