ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	8269	8378	8254	8234	8354	8275	8364
2	8270	8379	8254	8234	8355	8275	8364
3	8270	8379	8254	8234	8355	8275	8364
4	8270	8379	8254	8234	8355	8275	8364
5	8269	8378	8255	8234	8354	8275	8364
6	8269	8378	8254	8234	8354	8275	8364
7	8270	8379	8254	8234	8355	8275	8364
8	8270	8378	8256	8234	8356	8275	8364
9	8270	8380	8254	8234	8355	8275	8364
10	8270	8380	8254	8234	8355	8275	8364
11	8269	8378	8257	8234	8354	8275	8364
12	8269	8378	8258	8234	8354	8275	8365
13	8270	8378	8254	8234	8355	8275	8364
14	8269	8378	8254	8234	8354	8275	8364
15	8269	8378	8258	8234	8354	8275	8365
16	8270	8378	8254	8234	8355	8275	8364
17	8269	8378	8259	8234	8354	8275	8365
18	8270	8378	8256	8234	8356	8275	8364
19	8270	8378	8254	8234	8355	8275	8364
20	8270	8378	8256	8234	8356	8275	8364
