ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	13676	13813	13588	13601	13704	13603	13715
2	13676	13814	13588	13601	13705	13604	13716
3	13676	13815	13588	13601	13705	13604	13716
4	13676	13815	13588	13601	13705	13604	13716
5	13677	13816	13588	13602	13706	13605	13717
6	13676	13815	13588	13601	13705	13604	13716
7	13678	13816	13588	13602	13706	13605	13716
8	13678	13817	13588	13602	13706	13605	13716
9	13678	13817	13588	13602	13706	13605	13716
10	13676	13815	13588	13601	13704	13604	13716
11	13676	13813	13588	13601	13707	13603	13715
12	13676	13815	13588	13601	13705	13604	13716
13	13676	13815	13588	13601	13708	13605	13716
14	13676	13815	13588	13601	13704	13604	13716
15	13678	13816	13588	13602	13706	13605	13716
16	13678	13816	13588	13602	13706	13605	13716
17	13678	13817	13588	13602	13706	13605	13716
18	13676	13813	13588	13601	13707	13603	13715
19	13678	13816	13588	13602	13706	13605	13716
20	13676	13815	13588	13601	13704	13604	13716
