ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	11233	11341	11135	11209	11252	11212	11263
2	11233	11341	11135	11209	11252	11212	11263
3	11233	11341	11135	11209	11252	11212	11263
4	11233	11341	11135	11209	11252	11212	11264
5	11233	11341	11135	11209	11252	11213	11265
6	11234	11341	11136	11209	11252	11213	11265
7	11233	11341	11135	11209	11252	11212	11263
8	11234	11341	11136	11209	11252	11213	11265
9	11234	11341	11136	11209	11252	11213	11265
10	11234	11341	11135	11209	11252	11213	11265
11	11235	11341	11136	11209	11252	11213	11265
12	11234	11341	11136	11209	11252	11213	11265
13	11233	11341	11135	11209	11252	11213	11265
14	11233	11341	11135	11209	11252	11212	11263
15	11233	11341	11135	11209	11252	11212	11263
16	11235	11341	11136	11209	11252	11213	11265
17	11235	11341	11136	11209	11252	11213	11265
18	11235	11341	11136	11209	11252	11213	11265
19	11233	11342	11137	11209	11252	11213	11265
20	11233	11341	11135	11209	11252	11213	11265
