ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	1534	1580	1489	1555	1553	1518	1560
2	1534	1580	1489	1556	1554	1518	1560
3	1534	1580	1489	1555	1554	1518	1560
4	1534	1581	1490	1555	1555	1519	1561
5	1534	1580	1489	1556	1554	1518	1560
6	1534	1580	1491	1555	1554	1518	1560
7	1534	1580	1489	1555	1556	1518	1560
8	1534	1581	1490	1555	1555	1519	1561
9	1534	1580	1489	1555	1554	1518	1560
10	1534	1580	1489	1556	1554	1518	1560
11	1534	1580	1489	1555	1554	1518	1560
12	1534	1581	1490	1555	1555	1519	1561
13	1534	1581	1490	1555	1555	1520	1561
14	1534	1580	1489	1555	1556	1518	1560
15	1534	1580	1491	1555	1554	1518	1560
16	1534	1580	1489	1555	1556	1518	1560
17	1534	1580	1491	1555	1554	1518	1560
18	1535	1582	1492	1555	1554	1518	1562
19	1534	1580	1489	1555	1554	1518	1560
20	1534	1581	1490	1555	1555	1519	1561
