ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	16410	16580	16262	16306	16422	16407	16405
2	16410	16580	16262	16306	16423	16408	16405
3	16410	16580	16262	16306	16422	16407	16405
4	16411	16581	16262	16306	16422	16409	16405
5	16410	16582	16262	16306	16422	16407	16405
6	16410	16580	16262	16306	16422	16407	16405
7	16412	16583	16263	16307	16423	16410	16405
8	16410	16580	16262	16306	16422	16407	16405
9	16410	16580	16262	16306	16422	16407	16405
10	16413	16580	16262	16306	16423	16411	16405
11	16412	16584	16262	16307	16423	16410	16405
12	16412	16584	16263	16307	16423	16410	16405
13	16414	16585	16262	16306	16422	16407	16405
14	16414	16585	16262	16306	16422	16407	16405
15	16410	16580	16262	16306	16422	16407	16405
16	16410	16586	16262	16306	16422	16407	16405
17	16410	16580	16262	16306	16422	16407	16405
18	16412	16584	16262	16307	16423	16410	16405
19	16410	16580	16262	16306	16422	16407	16405
20	16410	16580	16262	16306	16422	16407	16405
