ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	1273	1314	1242	1309	1306	1252	1289
2	1273	1315	1243	1310	1307	1253	1289
3	1273	1315	1243	1310	1307	1253	1289
4	1274	1314	1244	1311	1307	1253	1290
5	1275	1314	1245	1311	1307	1253	1289
6	1273	1314	1246	1312	1307	1253	1289
7	1273	1316	1243	1312	1307	1253	1291
8	1273	1314	1246	1312	1307	1253	1289
9	1274	1314	1244	1311	1307	1253	1290
10	1273	1314	1246	1312	1307	1253	1289
11	1275	1314	1245	1311	1307	1253	1289
12	1273	1315	1243	1310	1307	1253	1289
13	1273	1314	1246	1312	1307	1253	1289
14	1276	1314	1246	1312	1307	1253	1289
15	1274	1314	1244	1311	1307	1253	1290
16	1274	1314	1244	1311	1307	1253	1290
17	1273	1314	1246	1313	1307	1253	1290
18	1273	1314	1246	1312	1307	1253	1289
19	1277	1315	1243	1310	1307	1253	1289
20	1274	1314	1244	1311	1307	1253	1290
