ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	21508	21726	21391	21365	21589	21511	21508
2	21508	21726	21391	21365	21589	21511	21508
3	21509	21727	21391	21366	21590	21512	21509
4	21508	21728	21392	21366	21591	21512	21510
5	21508	21726	21391	21365	21589	21511	21508
6	21509	21727	21391	21366	21590	21512	21509
7	21508	21729	21391	21366	21590	21512	21511
8	21509	21727	21391	21366	21590	21512	21509
9	21510	21730	21391	21366	21590	21512	21510
10	21509	21727	21391	21366	21590	21512	21509
11	21511	21728	21392	21366	21591	21513	21510
12	21508	21731	21391	21366	21590	21512	21510
13	21508	21729	21391	21366	21590	21512	21511
14	21510	21730	21391	21366	21590	21512	21510
15	21509	21727	21391	21366	21590	21512	21509
16	21509	21727	21391	21366	21590	21512	21509
17	21511	21732	21392	21366	21591	21513	21510
18	21511	21728	21392	21366	21591	21513	21510
19	21509	21727	21391	21366	21590	21512	21509
20	21509	21727	21391	21366	21590	21512	21509
