ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	24292	24565	24223	24133	24348	24329	24276
2	24293	24565	24224	24133	24348	24329	24276
3	24294	24566	24224	24134	24349	24329	24276
4	24295	24567	24224	24135	24349	24329	24277
5	24296	24565	24224	24133	24348	24330	24276
6	24296	24565	24225	24133	24350	24330	24276
7	24296	24565	24224	24133	24348	24330	24276
8	24296	24565	24224	24133	24348	24330	24276
9	24292	24565	24224	24136	24348	24331	24276
10	24292	24565	24226	24137	24348	24329	24276
11	24296	24565	24224	24133	24348	24330	24276
12	24292	24565	24224	24133	24348	24332	24276
13	24292	24565	24224	24133	24348	24329	24276
14	24296	24565	24224	24133	24348	24330	24276
15	24292	24565	24224	24133	24348	24329	24276
16	24292	24568	24224	24134	24349	24329	24276
17	24296	24565	24224	24133	24348	24330	24276
18	24292	24568	24224	24134	24349	24329	24276
19	24295	24567	24224	24135	24349	24329	24277
20	24292	24565	24224	24136	24348	24332	24276
