ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	27598	27764	27433	27318	27544	27562	27444
2	27599	27765	27434	27318	27545	27563	27445
3	27598	27764	27433	27318	27544	27562	27444
4	27598	27764	27433	27318	27544	27562	27444
5	27600	27766	27433	27318	27545	27563	27445
6	27599	27765	27434	27318	27545	27563	27445
7	27599	27765	27434	27318	27545	27563	27445
8	27599	27765	27434	27318	27545	27564	27445
9	27599	27765	27434	27318	27545	27564	27446
10	27599	27765	27434	27319	27545	27563	27445
11	27599	27767	27434	27320	27545	27563	27445
12	27599	27765	27434	27318	27545	27564	27446
13	27598	27764	27433	27318	27544	27562	27444
14	27599	27765	27434	27318	27545	27564	27445
15	27598	27764	27433	27318	27544	27562	27444
16	27599	27765	27434	27318	27545	27563	27445
17	27599	27765	27434	27320	27545	27563	27445
18	27599	27765	27434	27319	27545	27563	27445
19	27600	27766	27433	27318	27545	27563	27445
20	27601	27765	27434	27318	27546	27564	27445
