ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	14189	14334	14120	14113	14226	14162	14220
2	14189	14334	14121	14114	14226	14162	14220
3	14189	14334	14120	14113	14226	14162	14220
4	14189	14334	14120	14113	14226	14163	14220
5	14189	14334	14120	14113	14226	14162	14220
6	14189	14334	14120	14113	14226	14162	14220
7	14189	14334	14120	14113	14226	14162	14220
8	14189	14334	14120	14114	14226	14162	14220
9	14189	14334	14120	14113	14226	14162	14220
10	14189	14334	14120	14113	14226	14162	14220
11	14189	14334	14120	14113	14226	14162	14220
12	14189	14334	14120	14114	14226	14162	14220
13	14189	14334	14120	14113	14227	14162	14221
14	14189	14334	14121	14114	14226	14162	14222
15	14189	14334	14120	14113	14226	14162	14220
16	14189	14334	14121	14114	14226	14162	14220
17	14189	14334	14120	14113	14226	14163	14220
18	14189	14334	14120	14114	14226	14162	14220
19	14189	14334	14120	14113	14226	14163	14220
20	14189	14334	14120	14113	14226	14162	14220
