ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	9055	9184	8997	9010	9127	9042	9140
2	9055	9185	8998	9011	9127	9043	9141
3	9055	9184	8997	9012	9127	9042	9140
4	9056	9186	8999	9013	9127	9042	9142
5	9055	9185	8998	9010	9127	9044	9141
6	9055	9184	9000	9014	9127	9042	9140
7	9057	9184	8997	9010	9127	9042	9140
8	9055	9184	9001	9010	9127	9042	9140
9	9055	9185	8998	9011	9127	9043	9141
10	9057	9186	8997	9010	9127	9042	9140
11	9057	9184	8997	9010	9127	9042	9140
12	9055	9185	8998	9010	9127	9044	9141
13	9055	9185	8998	9010	9127	9044	9141
14	9055	9185	8998	9010	9127	9044	9143
15	9055	9185	8998	9010	9127	9044	9141
16	9055	9187	8998	9010	9127	9043	9141
17	9055	9184	9000	9014	9127	9042	9140
18	9055	9186	8997	9010	9127	9044	9141
19	9055	9184	8997	9010	9127	9042	9140
20	9055	9185	8998	9010	9127	9044	9141
