ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	21972	22174	21831	21814	22040	21956	21943
2	21972	22175	21831	21814	22040	21956	21943
3	21972	22174	21831	21814	22040	21956	21943
4	21972	22176	21831	21814	22040	21956	21943
5	21973	22177	21832	21814	22041	21957	21944
6	21974	22178	21832	21814	22040	21958	21944
7	21972	22175	21831	21814	22040	21956	21943
8	21972	22175	21831	21814	22041	21956	21943
9	21972	22175	21831	21814	22040	21956	21943
10	21974	22177	21832	21814	22041	21957	21944
11	21972	22175	21833	21814	22040	21956	21943
12	21972	22175	21833	21814	22040	21956	21943
13	21972	22175	21831	21814	22040	21956	21943
14	21974	22177	21832	21814	22041	21957	21944
15	21975	22175	21832	21814	22041	21957	21944
16	21974	22177	21832	21814	22041	21957	21944
17	21972	22175	21831	21814	22040	21956	21943
18	21974	22177	21832	21814	22041	21957	21944
19	21972	22175	21831	21814	22040	21956	21943
20	21974	22177	21832	21814	22041	21957	21944
