ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	15740	15882	15610	15635	15790	15714	15751
2	15740	15882	15610	15635	15790	15714	15751
3	15741	15883	15611	15635	15791	15714	15751
4	15742	15884	15612	15635	15790	15714	15751
5	15742	15884	15612	15635	15790	15714	15751
6	15743	15884	15611	15636	15790	15714	15752
7	15742	15884	15611	15636	15790	15714	15752
8	15744	15883	15613	15636	15790	15714	15753
9	15743	15884	15611	15636	15790	15714	15752
10	15742	15884	15612	15635	15790	15714	15751
11	15742	15884	15612	15635	15790	15714	15751
12	15740	15882	15610	15635	15790	15714	15751
13	15742	15884	15611	15636	15790	15714	15752
14	15742	15884	15611	15636	15790	15714	15752
15	15742	15884	15612	15635	15790	15714	15751
16	15740	15882	15610	15635	15790	15714	15751
17	15740	15882	15610	15635	15790	15714	15751
18	15745	15883	15614	15635	15792	15714	15751
19	15742	15884	15612	15635	15790	15714	15751
20	15742	15884	15611	15636	15790	15714	15752
