ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	7055	7150	7076	7051	7158	7056	7136
2	7056	7151	7077	7051	7158	7056	7137
3	7055	7150	7076	7051	7158	7056	7136
4	7056	7151	7077	7051	7158	7056	7137
5	7056	7152	7077	7051	7158	7056	7136
6	7056	7151	7077	7052	7158	7056	7137
7	7056	7153	7077	7051	7158	7056	7138
8	7056	7154	7078	7051	7158	7056	7136
9	7056	7152	7077	7051	7158	7056	7136
10	7056	7151	7078	7051	7158	7056	7139
11	7056	7152	7077	7051	7158	7056	7136
12	7055	7150	7076	7051	7158	7056	7136
13	7056	7151	7077	7052	7158	7056	7137
14	7056	7153	7077	7051	7158	7056	7138
15	7056	7150	7076	7051	7158	7056	7136
16	7056	7153	7077	7051	7158	7056	7138
17	7055	7150	7076	7051	7158	7056	7136
18	7056	7154	7078	7051	7158	7056	7136
19	7056	7153	7077	7051	7158	7056	7138
20	7056	7151	7077	7052	7158	7056	7137
