ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	3582	3633	3474	3587	3669	3609	3647
2	3582	3633	3474	3587	3670	3609	3647
3	3582	3634	3475	3587	3670	3609	3647
4	3582	3633	3474	3587	3670	3609	3647
5	3582	3633	3474	3587	3669	3609	3647
6	3582	3633	3474	3587	3671	3609	3647
7	3582	3633	3474	3587	3669	3609	3647
8	3583	3635	3476	3587	3672	3610	3648
9	3582	3634	3474	3587	3671	3609	3647
10	3582	3633	3474	3587	3671	3609	3647
11	3582	3634	3475	3587	3670	3609	3647
12	3582	3633	3474	3587	3670	3609	3647
13	3582	3633	3474	3587	3671	3611	3647
14	3583	3635	3476	3587	3672	3610	3648
15	3582	3634	3475	3587	3670	3609	3647
16	3583	3633	3476	3588	3672	3610	3648
17	3583	3633	3476	3587	3672	3610	3648
18	3582	3633	3474	3587	3671	3609	3647
19	3582	3633	3474	3587	3671	3609	3647
20	3582	3633	3474	3587	3671	3609	3647
