ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	10174	10296	10094	10078	10183	10119	10199
2	10174	10296	10094	10078	10183	10119	10199
3	10174	10296	10095	10078	10184	10119	10200
4	10174	10296	10095	10079	10185	10119	10201
5	10175	10296	10095	10079	10185	10119	10202
6	10174	10296	10095	10078	10184	10119	10200
7	10174	10296	10095	10078	10184	10119	10201
8	10174	10296	10094	10078	10183	10119	10199
9	10174	10296	10096	10078	10185	10119	10199
10	10174	10296	10094	10078	10183	10119	10199
11	10174	10296	10095	10079	10185	10119	10201
12	10174	10296	10095	10078	10184	10119	10201
13	10174	10296	10095	10078	10184	10119	10201
14	10174	10296	10094	10078	10183	10119	10199
15	10174	10296	10095	10079	10185	10119	10201
16	10175	10296	10095	10079	10185	10119	10202
17	10174	10296	10095	10079	10185	10119	10201
18	10176	10296	10094	10080	10186	10119	10203
19	10174	10296	10094	10078	10183	10119	10199
20	10175	10296	10095	10079	10185	10119	10202
