ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	23870	24094	23742	23685	23904	23885	23846
2	23870	24094	23742	23685	23904	23885	23846
3	23870	24094	23742	23685	23904	23885	23846
4	23870	24094	23742	23685	23904	23885	23846
5	23870	24095	23742	23685	23905	23886	23846
6	23870	24094	23742	23685	23904	23885	23846
7	23871	24094	23742	23685	23906	23887	23846
8	23870	24094	23742	23685	23904	23885	23846
9	23870	24094	23742	23685	23904	23885	23846
10	23870	24094	23742	23685	23905	23886	23846
11	23870	24094	23742	23685	23904	23885	23847
12	23872	24094	23743	23685	23906	23887	23848
13	23870	24094	23742	23685	23904	23885	23846
14	23870	24094	23742	23685	23904	23885	23846
15	23870	24094	23742	23685	23905	23886	23846
16	23870	24096	23743	23685	23904	23885	23846
17	23870	24094	23742	23685	23905	23886	23846
18	23870	24094	23742	23685	23907	23885	23846
19	23870	24094	23742	23685	23904	23885	23846
20	23870	24096	23743	23685	23904	23885	23846
