ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	394	385	382	397	407	415	406
2	395	385	383	398	408	415	406
3	395	385	382	397	409	415	406
4	394	385	382	397	410	415	406
5	394	385	382	397	410	415	406
6	394	385	382	397	410	415	406
7	394	385	382	397	410	415	406
8	394	385	382	397	407	415	406
9	394	385	382	397	410	415	406
10	395	385	382	397	409	415	406
11	395	385	382	397	409	415	406
12	395	385	383	398	408	415	406
13	395	385	383	398	408	415	406
14	395	385	383	398	408	415	406
15	395	385	384	399	408	415	406
16	394	385	382	397	410	415	406
17	395	385	383	398	408	415	406
18	395	385	383	398	408	415	406
19	395	385	383	398	408	415	406
20	394	385	382	397	410	415	406
