ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	949	935	951	957	1004	1005	989
2	949	935	951	957	1004	1005	989
3	949	935	951	957	1004	1005	989
4	949	935	951	957	1004	1005	989
5	949	935	951	957	1004	1005	989
6	949	935	951	957	1004	1005	990
7	949	935	951	957	1004	1005	989
8	949	935	951	957	1004	1005	989
9	949	935	951	957	1004	1005	989
10	949	935	951	957	1004	1005	989
11	949	935	951	957	1004	1005	989
12	949	935	951	957	1004	1006	989
13	949	935	951	957	1004	1006	989
14	949	935	952	958	1004	1005	989
15	949	935	951	957	1004	1006	989
16	949	935	951	957	1004	1005	989
17	949	935	951	957	1004	1005	989
18	949	935	951	957	1004	1005	989
19	949	935	951	957	1004	1006	989
20	949	935	951	957	1004	1005	989
