ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	620	605	587	608	643	641	607
2	620	605	587	608	643	641	607
3	620	605	587	609	643	641	607
4	621	606	588	610	644	641	608
5	620	605	589	609	643	641	607
6	621	606	588	610	644	641	608
7	620	605	587	609	643	641	607
8	620	606	588	610	643	641	607
9	620	605	587	609	643	641	607
10	621	606	588	610	644	641	608
11	620	605	587	609	643	641	607
12	620	605	590	609	643	641	607
13	621	606	588	610	644	641	608
14	620	605	587	609	645	641	607
15	620	605	589	609	643	641	607
16	620	605	587	609	643	641	607
17	621	606	588	610	644	641	608
18	620	605	587	609	643	641	607
19	620	605	590	609	643	641	607
20	621	606	588	610	644	641	608
