ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	615	599	583	603	635	635	604
2	615	599	583	603	635	635	604
3	615	599	583	603	635	635	604
4	615	599	583	603	635	635	604
5	615	599	583	603	635	635	604
6	615	599	583	603	635	635	604
7	615	599	583	603	635	635	604
8	615	599	583	603	636	635	604
9	615	600	583	603	637	635	604
10	615	599	583	603	635	635	604
11	615	599	583	603	638	636	604
12	615	599	583	603	638	636	604
13	615	599	583	603	637	635	604
14	615	599	583	603	638	636	604
15	615	599	583	603	635	635	604
16	615	599	583	603	639	635	604
17	615	600	583	603	640	635	604
18	615	599	583	603	635	635	604
19	615	599	583	603	635	635	604
20	615	600	583	603	637	635	604
