ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	80781	80781	80781	80781	80781	80781	80781
2	80782	80782	80782	80782	80782	80782	80782
3	80783	80783	80783	80783	80783	80783	80783
4	80784	80784	80784	80784	80784	80784	80784
5	80785	80785	80785	80785	80785	80785	80785
6	80786	80786	80786	80786	80786	80786	80786
7	80787	80787	80787	80787	80787	80787	80787
8	80788	80788	80788	80788	80788	80788	80788
9	80789	80789	80789	80789	80789	80789	80789
10	80790	80790	80790	80790	80790	80790	80790
11	80791	80791	80791	80791	80791	80791	80791
12	80792	80792	80792	80792	80792	80792	80792
13	80793	80793	80793	80793	80793	80793	80793
14	80794	80794	80794	80794	80794	80794	80794
15	80795	80795	80795	80795	80795	80795	80795
16	80796	80796	80796	80796	80796	80796	80796
17	80797	80797	80797	80797	80797	80797	80797
18	80798	80798	80798	80798	80798	80798	80798
19	80799	80799	80799	80799	80799	80799	80799
20	80800	80800	80800	80800	80800	80800	80800
