ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	43621	43621	43621	43621	43621	43621	43621
2	43622	43622	43622	43622	43622	43622	43622
3	43623	43623	43623	43623	43623	43623	43623
4	43624	43624	43624	43624	43624	43624	43624
5	43625	43625	43625	43625	43625	43625	43625
6	43626	43626	43626	43626	43626	43626	43626
7	43627	43627	43627	43627	43627	43627	43627
8	43628	43628	43628	43628	43628	43628	43628
9	43629	43629	43629	43629	43629	43629	43629
10	43630	43630	43630	43630	43630	43630	43630
11	43631	43631	43631	43631	43631	43631	43631
12	43632	43632	43632	43632	43632	43632	43632
13	43633	43633	43633	43633	43633	43633	43633
14	43634	43634	43634	43634	43634	43634	43634
15	43635	43635	43635	43635	43635	43635	43635
16	43636	43636	43636	43636	43636	43636	43636
17	43637	43637	43637	43637	43637	43637	43637
18	43638	43638	43638	43638	43638	43638	43638
19	43639	43639	43639	43639	43639	43639	43639
20	43640	43640	43640	43640	43640	43640	43640
