ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	58621	58621	58621	58621	58621	58621	58621
2	58622	58622	58622	58622	58622	58622	58622
3	58623	58623	58623	58623	58623	58623	58623
4	58624	58624	58624	58624	58624	58624	58624
5	58625	58625	58625	58625	58625	58625	58625
6	58626	58626	58626	58626	58626	58626	58626
7	58627	58627	58627	58627	58627	58627	58627
8	58628	58628	58628	58628	58628	58628	58628
9	58629	58629	58629	58629	58629	58629	58629
10	58630	58630	58630	58630	58630	58630	58630
11	58631	58631	58631	58631	58631	58631	58631
12	58632	58632	58632	58632	58632	58632	58632
13	58633	58633	58633	58633	58633	58633	58633
14	58634	58634	58634	58634	58634	58634	58634
15	58635	58635	58635	58635	58635	58635	58635
16	58636	58636	58636	58636	58636	58636	58636
17	58637	58637	58637	58637	58637	58637	58637
18	58638	58638	58638	58638	58638	58638	58638
19	58639	58639	58639	58639	58639	58639	58639
20	58640	58640	58640	58640	58640	58640	58640
