ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	6621	6621	6621	6621	6621	6621	6621
2	6622	6622	6622	6622	6622	6622	6622
3	6623	6623	6623	6623	6623	6623	6623
4	6624	6624	6624	6624	6624	6624	6624
5	6625	6625	6625	6625	6625	6625	6625
6	6626	6626	6626	6626	6626	6626	6626
7	6627	6627	6627	6627	6627	6627	6627
8	6628	6628	6628	6628	6628	6628	6628
9	6629	6629	6629	6629	6629	6629	6629
10	6630	6630	6630	6630	6630	6630	6630
11	6631	6631	6631	6631	6631	6631	6631
12	6632	6632	6632	6632	6632	6632	6632
13	6633	6633	6633	6633	6633	6633	6633
14	6634	6634	6634	6634	6634	6634	6634
15	6635	6635	6635	6635	6635	6635	6635
16	6636	6636	6636	6636	6636	6636	6636
17	6637	6637	6637	6637	6637	6637	6637
18	6638	6638	6638	6638	6638	6638	6638
19	6639	6639	6639	6639	6639	6639	6639
20	6640	6640	6640	6640	6640	6640	6640
