ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	68961	68961	68961	68961	68961	68961	68961
2	68962	68962	68962	68962	68962	68962	68962
3	68963	68963	68963	68963	68963	68963	68963
4	68964	68964	68964	68964	68964	68964	68964
5	68965	68965	68965	68965	68965	68965	68965
6	68966	68966	68966	68966	68966	68966	68966
7	68967	68967	68967	68967	68967	68967	68967
8	68968	68968	68968	68968	68968	68968	68968
9	68969	68969	68969	68969	68969	68969	68969
10	68970	68970	68970	68970	68970	68970	68970
11	68971	68971	68971	68971	68971	68971	68971
12	68972	68972	68972	68972	68972	68972	68972
13	68973	68973	68973	68973	68973	68973	68973
14	68974	68974	68974	68974	68974	68974	68974
15	68975	68975	68975	68975	68975	68975	68975
16	68976	68976	68976	68976	68976	68976	68976
17	68977	68977	68977	68977	68977	68977	68977
18	68978	68978	68978	68978	68978	68978	68978
19	68979	68979	68979	68979	68979	68979	68979
20	68980	68980	68980	68980	68980	68980	68980
