ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	93221	93221	93221	93221	93221	93221	93221
2	93222	93222	93222	93222	93222	93222	93222
3	93223	93223	93223	93223	93223	93223	93223
4	93224	93224	93224	93224	93224	93224	93224
5	93225	93225	93225	93225	93225	93225	93225
6	93226	93226	93226	93226	93226	93226	93226
7	93227	93227	93227	93227	93227	93227	93227
8	93228	93228	93228	93228	93228	93228	93228
9	93229	93229	93229	93229	93229	93229	93229
10	93230	93230	93230	93230	93230	93230	93230
11	93231	93231	93231	93231	93231	93231	93231
12	93232	93232	93232	93232	93232	93232	93232
13	93233	93233	93233	93233	93233	93233	93233
14	93234	93234	93234	93234	93234	93234	93234
15	93235	93235	93235	93235	93235	93235	93235
16	93236	93236	93236	93236	93236	93236	93236
17	93237	93237	93237	93237	93237	93237	93237
18	93238	93238	93238	93238	93238	93238	93238
19	93239	93239	93239	93239	93239	93239	93239
20	93240	93240	93240	93240	93240	93240	93240
