ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	92441	92441	92441	92441	92441	92441	92441
2	92442	92442	92442	92442	92442	92442	92442
3	92443	92443	92443	92443	92443	92443	92443
4	92444	92444	92444	92444	92444	92444	92444
5	92445	92445	92445	92445	92445	92445	92445
6	92446	92446	92446	92446	92446	92446	92446
7	92447	92447	92447	92447	92447	92447	92447
8	92448	92448	92448	92448	92448	92448	92448
9	92449	92449	92449	92449	92449	92449	92449
10	92450	92450	92450	92450	92450	92450	92450
11	92451	92451	92451	92451	92451	92451	92451
12	92452	92452	92452	92452	92452	92452	92452
13	92453	92453	92453	92453	92453	92453	92453
14	92454	92454	92454	92454	92454	92454	92454
15	92455	92455	92455	92455	92455	92455	92455
16	92456	92456	92456	92456	92456	92456	92456
17	92457	92457	92457	92457	92457	92457	92457
18	92458	92458	92458	92458	92458	92458	92458
19	92459	92459	92459	92459	92459	92459	92459
20	92460	92460	92460	92460	92460	92460	92460
