ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	18281	18281	18281	18281	18281	18281	18281
2	18282	18282	18282	18282	18282	18282	18282
3	18283	18283	18283	18283	18283	18283	18283
4	18284	18284	18284	18284	18284	18284	18284
5	18285	18285	18285	18285	18285	18285	18285
6	18286	18286	18286	18286	18286	18286	18286
7	18287	18287	18287	18287	18287	18287	18287
8	18288	18288	18288	18288	18288	18288	18288
9	18289	18289	18289	18289	18289	18289	18289
10	18290	18290	18290	18290	18290	18290	18290
11	18291	18291	18291	18291	18291	18291	18291
12	18292	18292	18292	18292	18292	18292	18292
13	18293	18293	18293	18293	18293	18293	18293
14	18294	18294	18294	18294	18294	18294	18294
15	18295	18295	18295	18295	18295	18295	18295
16	18296	18296	18296	18296	18296	18296	18296
17	18297	18297	18297	18297	18297	18297	18297
18	18298	18298	18298	18298	18298	18298	18298
19	18299	18299	18299	18299	18299	18299	18299
20	18300	18300	18300	18300	18300	18300	18300
