ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	76721	76721	76721	76721	76721	76721	76721
2	76722	76722	76722	76722	76722	76722	76722
3	76723	76723	76723	76723	76723	76723	76723
4	76724	76724	76724	76724	76724	76724	76724
5	76725	76725	76725	76725	76725	76725	76725
6	76726	76726	76726	76726	76726	76726	76726
7	76727	76727	76727	76727	76727	76727	76727
8	76728	76728	76728	76728	76728	76728	76728
9	76729	76729	76729	76729	76729	76729	76729
10	76730	76730	76730	76730	76730	76730	76730
11	76731	76731	76731	76731	76731	76731	76731
12	76732	76732	76732	76732	76732	76732	76732
13	76733	76733	76733	76733	76733	76733	76733
14	76734	76734	76734	76734	76734	76734	76734
15	76735	76735	76735	76735	76735	76735	76735
16	76736	76736	76736	76736	76736	76736	76736
17	76737	76737	76737	76737	76737	76737	76737
18	76738	76738	76738	76738	76738	76738	76738
19	76739	76739	76739	76739	76739	76739	76739
20	76740	76740	76740	76740	76740	76740	76740
