ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	98661	98661	98661	98661	98661	98661	98661
2	98662	98662	98662	98662	98662	98662	98662
3	98663	98663	98663	98663	98663	98663	98663
4	98664	98664	98664	98664	98664	98664	98664
5	98665	98665	98665	98665	98665	98665	98665
6	98666	98666	98666	98666	98666	98666	98666
7	98667	98667	98667	98667	98667	98667	98667
8	98668	98668	98668	98668	98668	98668	98668
9	98669	98669	98669	98669	98669	98669	98669
10	98670	98670	98670	98670	98670	98670	98670
11	98671	98671	98671	98671	98671	98671	98671
12	98672	98672	98672	98672	98672	98672	98672
13	98673	98673	98673	98673	98673	98673	98673
14	98674	98674	98674	98674	98674	98674	98674
15	98675	98675	98675	98675	98675	98675	98675
16	98676	98676	98676	98676	98676	98676	98676
17	98677	98677	98677	98677	98677	98677	98677
18	98678	98678	98678	98678	98678	98678	98678
19	98679	98679	98679	98679	98679	98679	98679
20	98680	98680	98680	98680	98680	98680	98680
