ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	15921	15921	15921	15921	15921	15921	15921
2	15922	15922	15922	15922	15922	15922	15922
3	15923	15923	15923	15923	15923	15923	15923
4	15924	15924	15924	15924	15924	15924	15924
5	15925	15925	15925	15925	15925	15925	15925
6	15926	15926	15926	15926	15926	15926	15926
7	15927	15927	15927	15927	15927	15927	15927
8	15928	15928	15928	15928	15928	15928	15928
9	15929	15929	15929	15929	15929	15929	15929
10	15930	15930	15930	15930	15930	15930	15930
11	15931	15931	15931	15931	15931	15931	15931
12	15932	15932	15932	15932	15932	15932	15932
13	15933	15933	15933	15933	15933	15933	15933
14	15934	15934	15934	15934	15934	15934	15934
15	15935	15935	15935	15935	15935	15935	15935
16	15936	15936	15936	15936	15936	15936	15936
17	15937	15937	15937	15937	15937	15937	15937
18	15938	15938	15938	15938	15938	15938	15938
19	15939	15939	15939	15939	15939	15939	15939
20	15940	15940	15940	15940	15940	15940	15940
