ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	11381	11381	11381	11381	11381	11381	11381
2	11382	11382	11382	11382	11382	11382	11382
3	11383	11383	11383	11383	11383	11383	11383
4	11384	11384	11384	11384	11384	11384	11384
5	11385	11385	11385	11385	11385	11385	11385
6	11386	11386	11386	11386	11386	11386	11386
7	11387	11387	11387	11387	11387	11387	11387
8	11388	11388	11388	11388	11388	11388	11388
9	11389	11389	11389	11389	11389	11389	11389
10	11390	11390	11390	11390	11390	11390	11390
11	11391	11391	11391	11391	11391	11391	11391
12	11392	11392	11392	11392	11392	11392	11392
13	11393	11393	11393	11393	11393	11393	11393
14	11394	11394	11394	11394	11394	11394	11394
15	11395	11395	11395	11395	11395	11395	11395
16	11396	11396	11396	11396	11396	11396	11396
17	11397	11397	11397	11397	11397	11397	11397
18	11398	11398	11398	11398	11398	11398	11398
19	11399	11399	11399	11399	11399	11399	11399
20	11400	11400	11400	11400	11400	11400	11400
